timestamp, p_x, p_y,p_z, q_x, q_y,q_z, q_w
DJI_0096.JPG,-43.456086,11.504465,-3.825116,-0.625402,0.675841,-0.285428,0.265786
DJI_0097.JPG,-42.120102,15.287781,-4.069536,-0.579523,0.715856,-0.301952,0.246025
DJI_0098.JPG,-40.546075,19.027430,-4.193125,-0.531924,0.752192,-0.316904,0.225470
DJI_0099.JPG,-38.491401,22.402229,-4.194984,-0.480437,0.786257,-0.330847,0.203765
DJI_0100.JPG,-36.057375,25.532538,-4.126435,-0.428241,0.816040,-0.343058,0.181659
DJI_0101.JPG,-33.134467,28.275123,-4.147745,-0.371144,0.843554,-0.354679,0.157708
DJI_0102.JPG,-29.967164,30.729082,-4.110557,-0.312223,0.867073,-0.364595,0.133312
DJI_0103.JPG,-26.502874,32.534759,-4.114932,-0.253434,0.885908,-0.372927,0.108918
DJI_0104.JPG,-22.803268,34.046197,-4.248371,-0.190816,0.901422,-0.379691,0.082837
DJI_0105.JPG,-18.982460,34.877307,-4.424835,-0.133818,0.911506,-0.384425,0.058878
DJI_0106.JPG,-14.948010,35.305633,-4.413718,-0.067030,0.918795,-0.387783,0.030764
DJI_0107.JPG,-10.928691,34.978219,-4.468333,-0.001991,0.921141,-0.389209,0.003395
DJI_0108.JPG,-6.951808,34.286180,-4.434592,-0.059072,-0.919540,0.387872,0.022610
DJI_0109.JPG,-3.156194,33.049888,-4.388824,-0.123308,-0.913202,0.385204,0.049743
DJI_0110.JPG,0.718254,31.419313,-4.282465,-0.181148,-0.903482,0.381278,0.074378
DJI_0111.JPG,3.981217,29.158204,-4.172054,-0.241357,-0.889242,0.375462,0.100121
DJI_0112.JPG,7.090395,26.721016,-4.170609,-0.300585,-0.870799,0.368143,0.125811
DJI_0113.JPG,9.697948,23.694650,-4.252304,-0.356889,-0.848466,0.360662,0.150527
DJI_0114.JPG,12.075844,20.338052,-4.325627,-0.424429,-0.816323,0.348152,0.179631
DJI_0115.JPG,13.656723,16.702234,-4.356713,-0.473334,-0.788569,0.337061,0.201255
DJI_0116.JPG,15.115574,12.823682,-4.349130,-0.538436,-0.745732,0.318862,0.228686
DJI_0117.JPG,15.828609,8.765975,-4.206901,-0.510118,-0.765489,0.325704,0.218455
DJI_0118.JPG,16.557778,4.870212,-4.122780,-0.369876,-0.842375,0.356817,0.162104
DJI_0119.JPG,17.609859,0.918003,-4.112305,-0.316916,-0.863530,0.366341,0.140265
